round,t,secsLeft,btc,strike,upProb,height
3,114.4,23.7,79349.09499999999,79372.97,0.031,0.022788712354754548
3,115.5,22.5,79341.85,79372.97,0.013,0.0040842960027067665
3,116.7,21.4,79333.825,79372.97,0.013,0.0040842960027067665
3,117.9,20.2,79333.825,79372.97,0.013,0.0040842960027067665
3,119.0,19.1,79333.825,79372.97,0.025,0.014940000956160049
3,120.2,17.9,79335.0875,79372.97,0.025,0.014940000956160049
3,121.4,16.7,79336.35,79372.97,0.025,0.014940000956160049
3,122.7,15.4,79334.85,79372.97,0.025,0.014940000956160049
3,124.5,13.6,79335.15000000001,79372.97,0.025,0.014940000956160049
3,127.1,11.0,79338.8225,79372.97,0.025,0.014940000956160049
3,129.6,8.5,79340.65,79372.97,0.025,0.014940000956160049
3,131.7,6.4,79338.8625,79372.97,0.025,0.014940000956160049
3,135.0,3.1,79339.745,79372.97,0.025,0.014940000956160049
3,138.0,0.1,79351.95,79372.97,0.025,0.014940000956160049
3,140.4,0.0,79371.155,79372.97,,
4,147.0,51.1,79385.09499999999,79351.95,0.909,
4,148.2,49.8,79396.05,79351.95,0.9205,
4,149.4,48.6,79396.75,79351.95,0.9655,
4,150.6,47.5,79397.45,79351.95,0.9655,
4,151.8,46.3,79397.985,79351.95,0.9655,
4,153.0,45.1,79397.985,79351.95,0.9655,
4,154.2,43.9,79397.985,79351.95,0.9655,
4,155.4,42.7,79397.985,79351.95,0.9725,
4,156.6,41.5,79396.65,79351.95,0.8195,0.5
4,157.8,40.3,79388.45,79351.95,0.8195,0.5
4,158.9,39.1,79374.15000000001,79351.95,0.8255,0.5036473678900809
4,160.1,37.9,79374.15000000001,79351.95,0.8255,0.5036473678900809
4,161.3,36.8,79374.15000000001,79351.95,0.831,0.5069672473394371
4,162.5,35.6,79373.985,79351.95,0.837,0.5105632641638655
4,163.7,34.4,79373.95000000001,79351.95,0.844,0.514724789162639
4,164.9,33.2,79373.95000000001,79351.95,0.844,0.514724789162639
4,166.1,32.0,79376.7,79351.95,0.844,0.514724789162639
4,167.3,30.8,79376.7,79351.95,0.85,0.5182628474938943
4,168.5,29.6,79373.425,79351.95,0.8575,0.5226478823984735
4,169.8,28.3,79366.855,79351.95,0.762,0.4636901098185888
4,171.0,27.1,79367.15,79351.95,0.77,0.4688883041075572
4,172.1,25.9,79367.15,79351.95,0.77,0.4688883041075572
4,173.3,24.7,79366.855,79351.95,0.778,0.4740394290152614
4,174.5,23.6,79366.855,79351.95,0.778,0.4740394290152614
4,175.7,22.4,79366.855,79351.95,0.787,0.4797779618369971
4,177.0,21.1,79366.855,79351.95,0.7965,0.48577020924699027
4,178.1,19.9,79366.855,79351.95,0.7965,0.48577020924699027
4,179.3,18.8,79366.855,79351.95,0.8075,0.4926248633971638
4,180.5,17.6,79366.855,79351.95,0.8135,0.4963258303724606
4,181.7,16.4,79369.45,79351.95,0.8195,0.5
4,182.9,15.2,79369.45,79351.95,0.885,0.538371029386923
4,184.1,14.0,79370.49500000001,79351.95,0.957,0.5769384682813422
4,185.3,12.8,79378.005,79351.95,0.957,0.5769384682813422
4,186.5,11.6,79379.65,79351.95,0.971,0.5840117627292133
4,187.7,10.4,79379.65,79351.95,0.978,0.587497698570557
4,188.9,9.2,79379.65,79351.95,0.984,0.5904589558866015
4,190.1,7.9,79379.65,79351.95,0.984,0.5904589558866015
4,191.3,6.8,79380.485,79351.95,0.984,0.5904589558866015
4,192.5,5.6,79382.435,79351.95,,
4,193.7,4.4,79387.07500000001,79351.95,,
4,194.9,3.2,79387.07500000001,79351.95,,
4,196.1,2.0,79387.75,79351.95,,
4,197.2,0.8,79387.75,79351.95,,
4,198.6,0.0,79390.77500000001,79351.95,,
4,199.8,0.0,79390.77500000001,79351.95,,
